sent,ent,target
"Immediate Release:Financial Action Task Force Identifies Jurisdictions with Anti-Money Laundering, Combating the Financing of Terrorism, and Counter-Proliferation Deficiencies February 29, 2024 WASHINGTON—The Financial Crimes Enforcement Network (FinCEN) is informing U.S. financial institutions that the Financial Action Task Force (FATF), an intergovernmental body that establishes international standards for anti- money laundering, countering the financing of terrorism, and countering the financing of proliferation of weapons of mass destruction (AML/CFT/CPF), issued an additional public statement at the conclusion of its plenary meeting this month reiterating how the Russian Federation’s war of aggression against Ukraine continues to run counter to FATF’s principles, and, thus, the suspension (https://www.fatf-gafi.org/en/publications/Fatfgeneral/fatf-statement-russian- federation-feb-2024.html) of the membership of the Russian Federation continues to stand.","[('Immediate Release:Financial Action Task Force Identifies Jurisdictions', 'ORG'), ('Anti-Money Laundering, Combating the Financing of Terrorism', 'ORG'), ('Counter-Proliferation Deficiencies', 'ORG'), ('February 29, 2024', 'DATE'), ('WASHINGTON', 'GPE'), ('The Financial Crimes Enforcement Network', 'ORG'), ('U.S.', 'GPE'), ('the Financial Action Task Force', 'ORG'), ('AML/CFT/CPF', 'ORG'), ('this month', 'DATE'), ('the Russian Federation’s', 'GPE'), ('Ukraine', 'GPE'), ('FATF', 'ORG'), ('the Russian Federation', 'GPE')]",0
"[1] The FATF highlighted the potential risks to the international financial system, including growing financial connectivity of Russia with the Democratic People’s Republic of Korea (DPRK) and Iran, and risks of proliferation financing, malicious cyber activities, and ransomware attacks.","[('1', 'CARDINAL'), ('FATF', 'ORG'), ('Russia', 'GPE'), ('the Democratic People’s Republic of Korea', 'ORG'), ('DPRK', 'ORG'), ('Iran', 'GPE')]",0
"In order to protect the international financial system, the FATF continues to urge all jurisdictions to remain vigilant to these risks.","[('FATF', 'ORG')]",0
[2] The FATF also updated its lists of jurisdictions with strategic AML/CFT/CPF deficiencies.,"[('2', 'CARDINAL'), ('FATF', 'ORG'), ('AML/CFT/CPF', 'ORG')]",0
"[3] U.S. financial institutions should consider the FATF’s stance toward these jurisdictions when reviewing their obligations and risk-based policies, procedures, and practices.","[('3', 'CARDINAL'), ('U.S.', 'GPE'), ('FATF', 'ORG')]",0
"[4] On February 23, 2024, the FATF added Kenya and Namibia to its list of Jurisdictions Under Increased Monitoring and removed Barbados, Gibraltar, Uganda, and the United Arab Emirates from that list.","[('4', 'CARDINAL'), ('February 23, 2024', 'DATE'), ('FATF', 'ORG'), ('Kenya', 'GPE'), ('Namibia', 'GPE'), ('Jurisdictions', 'PERSON'), ('Barbados, Gibraltar', 'ORG'), ('Uganda', 'GPE'), ('the United Arab Emirates', 'GPE')]",0
"The FATF’s list of High-Risk Jurisdictions Subject to a Call for Action remains the same, with Iran, DPRK, and Burma subject to calls for action.","[('FATF', 'ORG'), ('High-Risk Jurisdictions Subject', 'ORG'), ('Iran', 'GPE'), ('DPRK', 'ORG'), ('Burma', 'GPE')]",1
"Iran and DPRK are still subject to the FATF’s countermeasures, while Burma is still subject to the application of enhanced due diligence, but not countermeasures.","[('Iran', 'GPE'), ('DPRK', 'ORG'), ('FATF', 'ORG'), ('Burma', 'PERSON')]",1
"[5] As part of the FATF’s listing and monitoring process to ensure compliance with its international standards, the FATF issued two statements: (1) Jurisdictions Under Increased Monitoring (https://www.fatf- gafi.org/en/publications/High-risk-and-other-monitored-jurisdictions/Increased-monitoring-february-2024.html), which publicly identifies jurisdictions with strategic deficiencies in their AML/CFT/CPF regimes that have committed to, or are actively working with, the FATF to address those deficiencies in accordance with an agreed upon timeline; and (2) High-Risk Jurisdictions Subject to a Call for Action (https://www.fatf-gafi.org/en/publications/High-risk-and- other-monitored-jurisdictions/Call-for-action-february-2024.html), which publicly identifies jurisdictions with significant strategic deficiencies in their AML/CFT/CPF regimes and calls on all FATF members to apply enhanced due diligence, and, in the most serious cases, apply countermeasures to protect the international financial system from the money laundering, terrorist financing, and proliferation financing risks emanating from the identified countries.","[('5', 'CARDINAL'), ('FATF', 'ORG'), ('FATF', 'ORG'), ('two', 'CARDINAL'), ('1', 'CARDINAL'), ('AML/CFT', 'ORG'), ('FATF', 'ORG'), ('2', 'CARDINAL'), ('AML/CFT', 'ORG'), ('FATF', 'ORG')]",0
"Jurisdictions Under Increased Monitoring With respect to the FATF-identified Jurisdictions Under Increased Monitoring, U.S. covered financial institutions are reminded of their obligations to comply with the due diligence obligations for foreign financial institutions (FFI) under 31 CFR § 1010.610(a) in addition to their general obligations under 31 U.S.C.","[('Jurisdictions Under Increased Monitoring', 'WORK_OF_ART'), ('U.S.', 'GPE'), ('FFI', 'ORG'), ('under 31', 'DATE'), ('CFR', 'ORG'), ('1010.610(a', 'CARDINAL'), ('31', 'CARDINAL')]",0
